Rk,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
1,Giannis Antetokounmpo,MIL,30.9,29.6,13.7,5.8,1,1,0.547,0.306,0.633
2,LeBron James,LAL,34.9,25.7,7.9,10.6,1.2,0.5,0.498,0.349,0.697
3,James Harden,HOU,36.7,34.4,6.4,7.4,1.7,0.9,0.435,0.352,0.861
4,Anthony Davis,LAL,34.3,26.7,9.4,3.1,1.5,2.4,0.511,0.335,0.845
5,Luka Dončić,DAL,33.3,28.7,9.3,8.7,1.1,0.2,0.461,0.318,0.752
6,Kawhi Leonard,LAC,32.2,26.9,7.3,5,1.8,0.6,0.469,0.366,0.889
7,Nikola Jokić,DEN,32.3,20.2,10.2,6.9,1.2,0.7,0.528,0.314,0.813
8,Khris Middleton,MIL,30.1,21.1,6.2,4.1,0.9,0.1,0.499,0.418,0.908
9,Kyle Lowry,TOR,36.6,19.7,4.8,7.7,1.3,0.4,0.417,0.354,0.861
10,Jimmy Butler,MIA,34.3,20.2,6.6,6.1,1.7,0.5,0.454,0.248,0.833
